label	Group	numOtus	Otu0001	Otu0002	Otu0003	Otu0004	Otu0005	Otu0006	Otu0007	Otu0008	Otu0009	Otu0010	Otu0011	Otu0012	Otu0013	Otu0014	Otu0015	Otu0016	Otu0017	Otu0018	Otu0019	Otu0020	Otu0021	Otu0022	Otu0023	Otu0024	Otu0025	Otu0026	Otu0027	Otu0028	Otu0029	Otu0030	Otu0031	Otu0032	Otu0033	Otu0034	Otu0035	Otu0036	Otu0037	Otu0038	Otu0039	Otu0040	Otu0041	Otu0042	Otu0043	Otu0044	Otu0045	Otu0046	Otu0047	Otu0048	Otu0049	Otu0050	Otu0051	Otu0052	Otu0053	Otu0054	Otu0055	Otu0056	Otu0057	Otu0058	Otu0059	Otu0060	Otu0061	Otu0062	Otu0063	Otu0064	Otu0065	Otu0066	Otu0067	Otu0068	Otu0069	Otu0070	Otu0071	Otu0072	Otu0073	Otu0074	Otu0075	Otu0076	Otu0077	Otu0078	Otu0079	Otu0080	Otu0081	Otu0082	Otu0083	Otu0084	Otu0085	Otu0086	Otu0087	Otu0088	Otu0091
0.06	10CF278a	7110	56	13	39	32	8427	10	3	160	24	3	6	3484	3	0	3	14	6	0	0	13	3544	700	1903	95	351	0	7	1	3	2	2	4	0	0	6164	0	0	1	371	38	0	7	0	0	13	2	3	3	2402	22	1	0	44	0	17	0	0	3	1	0	2	1	5	1	18	0	0	0	1	0	6017	0	0	0	0	0	6	0	0	1672	0	0	7	0	1	0	1	487	0
0.06	11	7110	44	3	4756	5	316	2	0	2	1129	0	7432	2	0	2	1730	3971	0	2	2	4	0	109	4	15	7	4	254	0	0	3	3	0	0	0	0	0	3	0	7	0	226	6497	0	0	0	682	11	1	0	0	0	3	0	1	10	0	0	0	0	0	1	0	1331	0	0	0	1505	2	0	0	0	513	0	0	2	0	497	0	0	0	0	0	0	0	1171	0	0	8	0
0.06	11AA07	7110	14	1	5530	233	19	6215	13	32	0	2	2	67	1	5	36	1	0	0	1	1880	0	2	8	6	1	2251	91	10	4	329	0	0	74	1	2013	1	0	0	11	9	23	1	0	0	0	14	1	0	10	0	3319	0	69	170	38	1370	6	14	8882	0	1	25	0	0	277	0	2	1	0	4	0	3	0	0	0	15	3	0	17	0	0	142	8	0	0	3	0	0	1136
0.06	11CF278b	7110	19	10	12	23	5145	1	18	155	7857	0	2	5722	0	0	264	1	0	0	0	5	3955	276	87	23	443	0	105	0	0	0	0	102	0	1	243	0	2	1	864	10	0	0	0	0	0	2	0	0	8874	0	0	0	6	0	0	0	0	0	12	0	1	0	17	2	4	1	0	0	1	0	30	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	2544	0
0.06	11VP03	7110	525	0	2208	193	178	10	9	4	3	15834	71	23	0	19	1	2	80	4	2	348	0	0	10	7	6	4	656	34	0	11	0	0	3	0	104	38	146	886	20	12	0	1	8	0	0	0	0	0	0	0	1	0	10	1031	1	2886	7	26	5	0	26	33	1	0	633	0	0	0	0	0	0	1402	0	0	0	30	343	0	112	53	0	8	347	0	3	0	0	0	805
0.06	11VP04	7110	27	3	25	688	239	5250	0	6	8	1888	62	4	157	11	23	30	832	2	8	3427	2	34	679	43	42	0	335	83	0	1604	0	0	8	0	3316	8	17	7	14	16	28	0	2	0	0	6	5	0	2	4	3675	0	1043	20	48	26	73	14	64	0	477	26	1	0	1180	0	4	1	0	5	0	928	2	0	8	811	13	0	346	0	0	20	192	0	4	1	0	0	345
0.06	11VP05	7110	132	2	971	56	23	66	31	78	0	22444	580	7	149	0	5	5	1020	0	0	5	8	2	67	12	16	3	812	318	1	15	4	0	4	0	13	3017	83	100	13	5	1	0	0	0	0	3	2	0	0	0	11	0	27	36	1	11	0	101	4	0	7	0	1	0	3	0	0	0	0	0	0	797	2	0	0	32	13	0	29	13	0	4	152	0	66	0	0	0	12
0.06	11VP06	7110	11	14	5250	1914	97	12588	168	224	7	5	2	2652	2	0	437	1	1	0	0	5776	1	0	14	20	2	5072	4	7	0	37	0	2	1	0	5	3	6	0	2	5	3	3	0	0	0	84	0	0	6	0	59	0	102	30	16	491	1	6	1567	0	0	13	0	2	9	120	36	0	1	5	0	29	1	1	0	0	10	0	12	0	0	378	12	0	3	3	0	0	186
0.06	11VP08	7110	14	3	339	12	48	2913	4	241	0	9	78	9	3	0	6	5	24	8	1	834	0	0	109	5	91	27	172	59	2	816	0	0	68	0	9502	9	0	5	0	9	10	0	0	0	0	33	0	0	0	0	1124	0	285	667	62	1211	677	1	39	0	424	73	0	1	2756	0	10	0	0	1	0	717	0	0	0	1901	0	0	112	5	0	343	945	0	0	0	0	0	70
0.06	11VP09	7110	26	7	277	68	21	12329	0	7	0	5	15	2	5	2	7	0	0	4	4	280	0	1	30	8	1	17782	195	44	0	2882	14	0	1060	1	22	0	0	0	3	7	12	2	0	0	0	5	0	8	0	0	99	7	31	149	38	9	13	0	23	2	0	2	1	3	507	414	18	3	0	3	0	6	0	0	1	1	3	0	62	0	3	48	23	0	0	4	0	0	159
0.06	11VP10	7110	16	3	1406	12	251	101	0	1	12	6	15	617	209	2	530	7	2	0	6	209	1	11	1	23	134	61	124	2	1	42	0	0	8	1	7	35	3	0	83	1	0	4	0	0	0	495	20	0	5	0	3348	0	128	70	44	4726	1006	17	112	10555	2	98	2	9	42	2	1033	0	0	0	0	125	0	1	32	29	5	1	204	5	0	2181	126	0	13	0	1	0	39
0.06	11VP11	7110	14	3	439	37	125	20	0	20	2	25868	384	6	292	1	2	23	228	4	0	316	0	2	143	15	3	177	20	97	6	145	0	0	11	1	42	15	144	0	33	54	15	209	0	0	0	44	1	150	0	0	297	0	48	38	1	19	125	15	97	7	50	0	1	1	50	572	61	2	1	1	0	166	0	0	2	538	8	0	142	22	0	4	58	2	15	0	0	0	1
0.06	11VP12	7110	13	1	177	254	35	9327	853	0	0	962	108	3	0	7	2	63	2	1	3	16569	0	3	265	3	4	4	33	9	3	93	0	0	1247	0	264	0	38	0	3	31	2	2	1	0	3	14	0	0	1	0	309	0	22	371	3	238	1720	2	10	0	69	108	0	0	91	18	0	2020	0	1	0	333	0	0	3	277	0	0	188	1	0	148	16	0	0	0	0	0	155
0.06	11VP16	7110	4334	5	277	8	11	1	26	20	1	21474	4	2	1	6	1	0	416	0	4	2	0	0	59	0	3	1	44	12	0	205	0	0	0	0	1	3	277	5	1	0	0	2	3	1	0	2	6	0	0	5	0	0	4	0	0	6	0	37	1	0	3	167	1	0	3	197	0	0	0	0	0	231	8	0	0	1420	0	0	11	0	21	42	24	0	5	0	0	0	152
0.06	12	7110	36	1	1432	6	7731	0	0	2	2469	0	3382	0	2	2	341	1379	10066	0	1	3	4	2373	1	24	3	0	119	1	1	2	0	0	0	1	0	4	3	0	3	0	57	51	0	0	0	1378	2798	42	10	0	1	0	2	0	4	1	0	0	0	2	24	1	628	0	0	0	0	0	0	0	0	480	1	1	0	0	383	0	1	2	0	2	0	0	2	0	0	0	0
0.06	12CF275a	7110	23	8	9	5	476	10	2	554	6	0	5	5	39	1	115	4	31479	13	1	7	4	141	12	8	2	0	42	0	0	0	0	0	0	2	6	2	0	1	1	140	1	7	0	0	0	0	0	2544	3	0	0	0	12	185	9	0	1	0	3	0	0	0	14	0	711	0	0	2	0	0	3	1	0	0	0	0	0	0	3	1	0	0	42	0	0	0	0	1	1
0.06	13	7110	29	1	2793	4	37	0	0	553	18	8	8348	4	9	0	4	16	10	0	0	2	2	5	15049	108	10	0	404	3	4	2	0	0	1	0	0	0	0	0	3	14	0	15	1	1	0	1	48	42	0	0	0	0	5	1	0	0	0	240	0	0	0	1	300	0	0	1	11	0	0	0	0	41	1	0	0	0	526	0	512	0	0	3	0	2	189	0	1	3	0
0.06	13CF275b	7110	32	8	6	16	70	5	0	493	6	0	6	8	832	4	10054	6	2351	2	2	12	2	2205	36	4	5	6	1042	3	2	4	7	0	0	1	5	1	0	0	159	833	0	275	0	0	0	2	0	3675	6	1	0	1	511	6255	273	0	0	0	0	0	1	2	201	1	1336	0	2	1	0	0	0	0	0	1	2	0	3	0	296	3	0	2	187	0	0	0	0	29	0
0.06	14PG292	7110	25	5	6	10	3495	3	0	352	1	0	7	34370	7	0	24	0	41	4	6	2	226	11	2	4	821	6	30	1	0	1	5	0	0	3	0	0	0	0	2	57	0	5	0	0	0	0	0	7	0	0	0	4	0	2	0	0	0	0	0	0	1	2	6	0	2	0	1	0	0	1	2	0	0	0	2	0	0	1	0	0	3	0	0	0	1	0	0	2	0
0.06	15PG292	7110	32	4	1	22	6778	0	0	6388	1518	9	8	185	5909	2	32	4	9	0	2	3	1923	19	7997	18	3267	0	28	203	0	4	0	226	0	2	0	3	5	0	1	88	106	0	0	2	0	0	0	0	0	0	0	0	38	2	177	3	0	0	34	7	6	0	1	0	0	0	3135	0	0	23	0	1	0	1	0	0	19	0	6	0	2	0	5	0	0	0	0	4	0
0.06	16PG298b	7110	9	3	5	73	9694	0	0	3760	1075	6	39	21	5454	2	60	2	8	2	1	33	10706	10	1796	14	5358	0	37	129	3	0	0	44	2	6	0	0	0	0	1	81	88	0	2	0	0	0	0	0	2	0	0	0	2	0	23	0	0	1	24	0	0	2	1	1	0	1	103	0	0	28	0	0	0	0	0	0	22	1	0	0	0	1	0	1	1	0	0	0	0
0.06	17CF357	7110	26	2	9	28404	291	0	0	58	90	0	6	2007	891	2	19	2	20	0	6	4	17	426	1	15	665	0	594	44	1	2	0	1	0	0	1	114	1	0	546	72	0	55	0	0	1	2	0	0	30	0	0	0	35	3	74	1	0	0	1	2	1	0	278	0	0	0	1	0	0	1	0	0	0	4	0	0	98	0	113	0	0	0	237	0	0	0	0	46	0
0.06	183	7110	10238	7	80	2	210	12	1	339	5	0	58	0	41	0	11316	9648	27	9	1	18	0	42	17	19	181	0	260	8	0	0	0	0	0	2	5	0	0	2	95	10	0	10	0	0	0	153	0	7	0	0	1	0	2	0	550	0	1	0	0	0	0	113	0	0	0	0	0	3992	0	5	0	1	1	0	0	1	28	2	0	2	0	2	2	0	0	0	0	0	0
0.06	185	7110	17491	4	143	48	28	2	0	192	7	0	5093	342	887	1	290	1276	7	4	1	11	0	62	205	834	779	5	260	2	0	3	9	17	7	2	0	0	0	0	36	1	0	7	0	0	0	20	0	2239	0	0	0	6	6	3	6	0	0	0	0	0	1	1	3	0	3	2	0	598	0	1	0	1	0	0	40	0	793	0	0	0	1	0	1	0	0	0	0	0	0
0.06	188	7110	37575	6	0	1507	5	0	0	53	2	0	21	0	6	4	17	339	1	0	2	2	0	3	0	3	4	0	9	1	1	9	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	8	0	1	0	0	1	0	0	0	0	0	0	0
0.06	189	7110	2001	7	11	14801	5045	0	0	23	75	10	182	23	257	1	1076	11655	351	3	0	9	4	6	90	75	19	0	280	2	5	0	0	31	272	3	0	0	0	34	29	3	0	0	4	0	0	2174	0	10	36	0	1	0	4	0	112	0	0	0	0	0	0	13	2	0	1	0	44	51	1	1	0	0	0	0	10	1	14	0	4	0	0	0	35	2	1	0	0	0	0
0.06	18CF358	7110	10	4	12	5580	12674	0	0	132	5317	5	2	8433	5	0	2	9	2	1	0	4	3	3628	11	16	920	0	55	85	9	0	0	84	0	0	0	1	0	0	53	17	0	39	1	4	0	0	0	2	6	0	0	0	31	1	71	0	0	0	0	0	0	1	37	0	0	0	0	0	1	15	0	0	0	0	0	0	654	1	3	31	0	0	164	0	1	0	0	0	0
0.06	191	7110	15639	16	163	6471	321	9	12	310	4	3	226	45	281	9	240	2023	13	1	4	20	0	16	1904	92	2	6	1013	13	0	0	0	0	5239	0	12	0	0	0	110	15	0	0	1	0	2	105	0	266	8	0	1	0	23	1	201	3	3	0	2	0	0	27	13	89	5	8	5	20	0	5	0	0	0	0	1	0	197	0	92	0	0	3	308	0	0	0	0	0	0
0.06	192	7110	27588	2	514	1575	38	0	0	143	2	9	282	14	8	3	52	577	1	2	5	2	0	1	17	106	31	0	6175	0	0	0	0	0	49	1	0	4	0	175	6	12	1	1	0	2	0	16	2	13	0	3	0	0	3	0	2	0	0	1	0	0	0	66	5	0	0	0	0	53	0	1	0	0	5	0	1	1	138	0	64	0	0	0	11	0	0	0	0	0	0
0.06	198	7110	6201	11	19744	1770	111	14	9	181	10	4	43	67	118	0	592	918	31	0	0	303	36	45	3854	0	2	0	41	1	0	2	0	0	1111	0	3	0	0	0	31	73	0	1574	0	0	168	28	2	1694	3	0	0	0	6	0	95	0	0	0	0	0	0	115	1	0	0	0	36	1	0	15	4	0	0	1	0	0	64	0	11	0	0	4	7	0	0	0	1	0	1
0.06	19CF359	7110	22	0	9509	44	1716	5	12	106	120	0	866	96	696	8	8	0	4	1	0	6	1	188	2	17	6801	3	1649	10	1	0	0	194	735	3	1	0	0	0	5571	31	2	61	6	0	3	0	0	1	137	0	1	0	1181	1	1673	0	1	0	1	0	1	405	60	0	1	1	1	0	0	4	0	1	0	0	2	0	5	0	6	7	0	0	45	0	0	0	0	2	0
0.06	2	7110	21	4	12137	3	111	3	4	55	610	1	377	0	0	0	4689	4193	824	0	0	0	0	117	7	51	0	0	154	365	0	2	0	0	0	0	2	2	0	0	8	0	1	3512	0	0	0	694	5783	0	0	0	0	1	8	0	9	0	0	1372	0	0	55	0	68	0	0	0	158	0	0	0	1	62	0	0	27	0	28	0	0	9	0	0	0	0	91	0	2	1	0
0.06	20CF360	7110	31	4	14126	44	364	3	1	424	120	5	5868	1296	1824	3	1	2	4	4	2	1	0	218	1	3	1316	0	620	30	0	2	0	1	6	1	0	3	0	0	6427	67	5	933	0	0	4	1	3	0	124	5	1	0	124	2	343	3	0	1	0	5	0	11	98	0	0	0	0	0	0	3	0	1	1	0	0	0	1	0	0	2	0	0	345	0	0	1	0	1	0
0.06	21CF271a	7110	44	14	2873	76	316	12	13	134	496	3	31	36	3799	0	14	2	3144	0	0	24	6	430	11	9391	34	0	290	1781	0	5	1	10	0	0	2	2015	0	0	1046	5	49	6	0	0	13	0	4	3	35	0	0	0	1418	0	31	0	1	77	0	0	0	2	338	606	0	0	1	0	0	59	2	0	0	0	0	0	9	0	0	2362	0	0	9	0	0	0	0	0	0
0.06	22CF271b	7110	13	9	34832	229	9	1	14	4	7	42	2	5	280	0	4	4	43	0	0	136	1	118	1	46	0	1	131	15	0	4	0	0	11	0	3	70	4	3	221	118	10	0	0	0	1	0	0	0	106	0	0	0	1523	1	5	0	0	334	0	0	0	91	124	51	7	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	60	0	0	0	0	0	0
0.06	24CF246b	7110	39345	6	6	121	1	5	2	6	1	0	5	1	9	2	4	70	80	7	1	9	2	2	0	0	0	0	1	0	0	0	0	0	0	0	5	5	167	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	2	1	0	2	0	1	2	0	0	0	0	0	0
0.06	3	7110	8	1	549	2	1060	0	0	4	782	1	2072	28	0	3	14	1059	3	0	3	0	0	317	87	673	0	0	1701	1	0	1	0	0	0	3	0	5829	7	0	47	0	1007	1	0	0	0	2188	3415	0	0	2	0	0	95	0	0	0	0	1593	0	0	1	0	2758	0	1	0	72	0	0	0	0	15	5504	0	3	1	1	0	0	0	0	2	0	0	0	0	0	0	0
0.06	50PG260	7110	22	0	11	0	8161	5	7	5465	3957	2	422	2	1789	14	59	2	12	1	1	10	0	176	520	0	4	5	4	0	1	0	0	0	515	99	3	0	0	0	1	601	2274	0	3	0	12886	0	0	0	0	0	1	0	7	0	2	0	1	0	4	0	1	0	0	2	0	0	0	1	0	715	0	2	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	2
0.06	51PG361	7110	33	2	3	2	11514	1	0	10411	7875	6	388	1	22	5	2	1	2	0	3	3	0	70	3	0	0	0	3	1	0	3	0	0	4	77	0	4	0	0	6	346	5967	0	0	0	123	1	4	0	0	3	2	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	2453	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.06	52PG261a	7110	50	11	20	5	3749	10	13	18242	13166	7	6	15	5	0	97	1	4	0	0	0	2	486	3	375	1	1	1	1	0	2	1	1128	1	470	1	4	1	0	0	117	1103	3	0	0	7	2	0	1	2	0	0	0	2	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	66	2	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
0.06	53PG261b	7110	23	16	31	7	3371	2	29	22355	10408	0	1	7	5	0	16	1	4	0	0	0	0	241	0	734	2	1	0	3	0	0	0	34	0	994	0	0	4	2	0	234	177	0	0	0	24	2	0	0	4	0	0	0	0	0	0	0	7	0	0	0	1	0	1	0	0	1	0	0	0	90	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
0.06	54PG362	7110	9	6	20	9	1251	16	3	2062	461	2	46	3	5	0	30	10420	14	24	4	2	1	3	161	181	266	0	147	9	0	1	0	6785	10016	4	1	0	1	2	0	1808	15	0	0	0	4	0	0	1	0	0	0	0	74	3	2391	2	4	0	0	0	0	0	306	0	1	0	0	0	0	6	0	0	0	0	0	1	0	2	0	0	0	905	1	0	0	0	0	1	0
0.06	56PG364	7110	25	8	11	3	6885	5	0	311	1947	2	7	7	6	6	324	60	769	7	8	5	4	3730	333	1219	557	3	486	3069	0	7	15	12705	6	1	1	0	0	0	0	2	25	1	0	0	1	0	4	1	0	0	0	4	106	3	26	20	262	0	0	0	0	0	0	0	1	0	0	0	0	1039	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	7	0
