label	Group	numOtus	Otu0001	Otu0002	Otu0003	Otu0004	Otu0005	Otu0006	Otu0007	Otu0008	Otu0009	Otu0010	Otu0011	Otu0012	Otu0013	Otu0014	Otu0015	Otu0016	Otu0017	Otu0018	Otu0019	Otu0020	Otu0021	Otu0022	Otu0023	Otu0024	Otu0025	Otu0026	Otu0027	Otu0028	Otu0029	Otu0030	Otu0031	Otu0032	Otu0033	Otu0034	Otu0035	Otu0036	Otu0037	Otu0038	Otu0039	Otu0040	Otu0041	Otu0042	Otu0043	Otu0044	Otu0045	Otu0046	Otu0047	Otu0048	Otu0049	Otu0050	Otu0051	Otu0052	Otu0053	Otu0054	Otu0055	Otu0056	Otu0057	Otu0058	Otu0059	Otu0060	Otu0061	Otu0062	Otu0063	Otu0064	Otu0065	Otu0066	Otu0067	Otu0068	Otu0069	Otu0070	Otu0071	Otu0072	Otu0073	Otu0074	Otu0075	Otu0076	Otu0077	Otu0078	Otu0079	Otu0080	Otu0081	Otu0082	Otu0083	Otu0084	Otu0085	Otu0086	Otu0087	Otu0088	Otu0091
0.06	57PG365	7110	8	5	2	13	7319	0	0	714	25672	2	4	1	4	4	1261	26	2184	0	9	8	22	4	65	11	462	0	3	12	0	5	0	121	11	0	0	1	2	0	2	10	5	0	0	1	1	3	1	0	1	1	1	0	1	0	34	70	0	0	0	1	0	0	8	0	0	0	0	0	1	20	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.06	58PG366	7110	13	4	5	7	758	0	0	2005	1048	23	24	360	235	0	498	21	30	2	1	279	28221	12	129	26	1934	0	33	19	2	2	0	128	5	3	0	0	0	0	0	388	5	0	2	4	26	0	3	0	0	0	0	0	11	0	12	4	0	70	1	0	0	35	8	0	0	3	36	0	0	98	0	1	0	0	0	0	14	0	0	0	0	0	237	0	0	0	0	2	0
0.06	7	7110	263	5	6141	12	138	16	10	1	0	1	3233	2	0	0	1	2	3217	6	0	27	22	88	1493	53	0	1	955	2	1	0	0	0	1	0	3	260	16	0	14	4	0	2	0	0	0	34	7	0	2	0	0	0	1	0	0	0	0	4310	0	1	0	0	433	1	0	0	1	0	1	0	3	109	0	0	3	0	10	0	0	40	0	8	0	0	1725	0	3745	0	0
0.06	8	7110	93	13	3240	9	9	2	25	4	6	1	842	1	1	0	7	0	41	1	0	0	7	1	211	77	1	2	383	0	0	0	0	0	1	1	0	624	11506	3	0	1	0	13	0	0	0	1	0	0	3	0	4	0	2	0	1	19	0	3	0	0	0	0	31	0	0	1	0	0	0	0	7	180	1	0	0	0	0	0	0	136	0	14	0	0	159	0	23	3	0
0.06	8CF356	7110	18	1	6	14598	9789	1	0	664	116	7	17	2	5	2	296	0	1	2	2	0	0	414	197	20	2	1	65	0	1	0	0	0	29	55	0	3	0	0	12	46	1	0	2	0	0	1	0	0	2	11429	0	0	6	0	329	0	0	12	30	0	0	0	13	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	9	0	0	17	51	0	0	0	0	0	0
0.06	9	7110	133	2	14226	6	167	5	2	0	1	0	5080	0	3	1	6	44	5	5	1	1	0	18	586	8	0	0	203	0	0	0	1	1	0	1	2	0	138	0	4	1	0	173	0	0	0	3	0	39	0	0	0	0	5	1	0	2	1	307	7	0	0	0	564	1	1	0	1	2	0	0	0	0	0	0	0	0	182	2	1	0	0	11	0	0	270	0	0	0	0
0.06	AA01P	7110	21	6	128	971	11	4661	25445	5	3	2	1	3	1	2	1	2	3	6	1	12	0	0	0	1	1	1506	3	2	0	27	2778	0	0	0	1	2	0	0	0	1	3	1	0	0	0	1	2	0	2	0	0	247	0	751	1	0	4	3	1	0	8	1	0	0	117	0	267	0	1	0	2	6	0	27	0	0	0	0	3	1	4	0	0	0	0	0	1	11	406
0.06	AA02P	7110	5	4	7	258	8	2	35223	1	2	0	2	1	1	1	1	0	0	0	0	4	0	1	2	1	0	1732	4	2	0	34	2	0	1	1	1	0	1	1	0	19	1	0	0	0	0	1	0	0	0	1	0	0	18	346	1	0	1	0	0	0	31	0	0	0	122	0	95	0	1	0	0	23	0	457	0	0	0	0	6	0	67	0	1	0	0	0	0	1	37
0.06	AA04P	7110	4	7	18	21	2	30148	8286	4	0	0	4	0	6	0	5	3	8	8	0	3	0	0	1	0	0	57	24	0	0	76	0	2	49	2	8	1	0	1	0	42	0	1	0	0	0	0	0	1	0	0	0	0	28	440	4	2	2	0	0	0	2	0	0	0	75	0	53	1	0	0	0	13	0	21	0	0	1	0	6	0	8	0	0	0	1	0	0	0	37
0.06	AA06P	7110	14	8	3	6	18	5	1	2	2	0	8	5	2	0	5	1	0	0	3	21	0	3	1	21	0	3	1	1	0	4785	19952	2	1	0	0	1	0	0	0	0	5	19	0	1	0	1	0	2	0	0	0	10694	2	40	6	0	0	2	0	0	0	0	0	2	1	0	0	0	0	0	0	7	0	190	1	0	1	0	24	0	2539	0	3	0	0	0	0	577	0
0.06	AA11P	7110	14	9	816	14	14	0	0	361	0	0	236	2	139	0	0	1	6	0	3	1488	0	2	7	164	2	287	391	1068	3	9185	8	0	338	0	20	7614	6358	4	0	43	13	66	0	0	0	1	2	0	0	141	0	9	92	5	43	3	0	243	1	3	4	0	122	88	126	0	0	11	0	0	0	3	0	4434	0	5	45	0	462	21	525	1	58	0	3	0	0	1	0
0.06	AA20P	7110	10	7	13193	11	8	0	4	2	0	5	1901	6	3	0	0	892	0	3	0	9	2	0	2455	122	355	9	258	2310	4	3	0	0	779	2	10	257	14	0	3	3324	64	21	0	0	0	0	0	0	9	0	0	0	351	15	0	0	0	687	99	0	0	1	349	0	0	0	36	0	0	7	0	18	0	0	4	446	28	1	1629	0	0	2	92	0	87	0	0	0	0
0.06	AA22P	7110	12	2	4676	0	5	6	28237	12	1	1	1	0	0	4	0	60	1	0	2	18	0	3	11	0	1	5544	4	26	0	1	1	0	4	0	33	0	1	0	0	87	12	0	2	0	1	0	0	0	0	0	4	0	3	32	5	2	52	0	3	0	30	0	1	0	198	0	27	1	0	0	0	0	0	117	1	0	0	0	10	0	1	25	0	0	0	0	0	0	17
0.06	AA25P	7110	38	14	43	3	7	25447	5353	18	0	3	16	7	1	0	3	5	3	0	0	38	2	0	260	4	0	2	23	82	0	3255	104	0	1	0	20	2	1	0	2	7	47	2	0	0	1	18	2	1	1	0	14	0	2	1	59	0	0	11	0	0	3	0	0	0	17	0	39	0	0	2	1	0	0	276	0	0	0	0	205	2	1291	0	6	0	4	0	2	2	262
0.06	AB199	7110	3862	16	3954	323	300	0	17	186	21	0	288	28	21	0	8968	1271	0	1	0	320	8	125	923	1	201	1	2749	0	0	0	0	20	358	0	0	0	5	8506	28	9	0	156	0	0	34	2351	0	589	3	0	0	0	1645	0	298	0	0	59	11	0	0	194	27	0	0	1	2	8	1	1	0	0	246	0	0	0	25	0	15	0	0	14	44	0	1	0	0	0	0
0.06	AB200	7110	1880	5	14457	57	87	13	5	23	0	0	1031	0	8	0	6381	1549	13	9	1	25	4	1356	97	3	245	0	793	0	0	0	0	0	86	0	4	0	0	6731	458	8	0	6	0	0	11	718	0	207	15	0	1	0	109	0	1167	0	2	70	0	0	0	279	12	2	0	0	194	1	0	3	0	1	81	0	0	0	41	1	3	0	0	7	44	0	0	0	0	0	0
0.06	AB204	7110	24670	6	106	7583	146	0	0	8	1	0	2188	4	123	1	430	85	2	2	2	2444	0	761	11	88	246	6	99	0	0	2	5	0	17	0	0	0	0	8	2	0	0	9	0	0	59	4	0	216	0	0	0	6	5	2	4	0	0	0	0	0	0	36	3	0	0	0	1	1	0	0	0	2	0	0	3	0	37	0	8	1	0	6	1	0	0	0	0	0	0
0.06	AB210	7110	2651	3	582	9039	54	0	0	1313	5	0	4619	36	106	7	260	1686	9	0	9	2826	41	4594	91	52	196	0	1941	2	1	5	0	0	2	1	0	3	2	0	206	23	0	1	0	2	0	840	84	102	5	0	2	0	340	0	18	2	0	0	0	6	0	252	102	1988	0	0	29	8	0	34	0	3	0	2	0	0	238	1258	113	4	1	3	20	0	0	0	0	0	0
0.06	AB211	7110	19739	2	1037	3709	590	0	0	717	8	10	367	81	14	1	578	117	0	3	0	4356	71	121	16	7	91	0	239	1	5	0	0	7	17	2	0	0	1	0	31	13	1	0	1	0	0	105	57	14	0	0	0	0	296	0	958	0	0	0	0	0	0	3032	7	889	0	0	2	1	0	2	0	1	2	0	0	0	12	377	2	0	0	62	14	0	0	0	0	0	0
0.06	CB02tf	7110	10	35218	22	3	141	2	21	2	7	0	631	2	290	0	7	0	0	0	0	0	0	135	1	363	55	1	1	426	117	1	0	0	0	414	0	0	6	1	0	0	421	0	0	0	0	1	0	0	5	0	0	0	0	1	0	0	0	0	0	0	316	0	0	0	0	1	0	0	8	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	701	0	1	0
0.06	CB10tf	7110	9	37500	10	0	38	8	9	0	2	0	76	0	718	0	8	2	8	14	1	0	0	31	1	13	27	0	2	387	50	0	0	0	2	94	1	0	0	3	0	9	168	0	0	0	0	1	12	3	0	0	0	0	1	0	0	0	2	0	0	0	40	0	0	1	4	6	0	1	3	3	0	0	0	0	15	0	0	2	1	0	0	0	0	0	0	0	0	0	0
0.06	CB14tf	7110	17	37141	0	3	131	5	0	0	2	0	20	1	15	2	5	2	2	1	4	4	0	27	0	40	14	7	1	1613	9	3	13	1	1	23	0	0	0	0	0	15	138	1	0	0	0	0	0	1	0	0	0	4	0	2	0	0	0	0	0	0	25	3	0	1	1	31	1	0	27	122	0	0	0	0	22	0	0	0	0	0	2	0	1	0	2	112	0	0	0
0.06	CB16tf	7110	16	19078	2	24	956	0	0	1	20	0	50	2	13592	4	1	2	6	1	1	3	0	40	1	692	34	1	2	1849	1024	6	0	0	1	390	0	8	3	0	0	85	2	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	2	0	1	2	250	0	0	1	0	12	1	0	567	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0
0.06	CB20tf	7110	4	34563	3	16	197	0	0	1	4	2	151	9	1585	0	2	2	1	3	0	6	3	259	7	47	92	0	0	26	619	8	0	0	0	1147	0	0	0	0	0	0	45	0	1	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	152	0	0	2	0	9	1	0	29	0	0	0	0	3	0	0	0	0	1	0	0	0	0	1	2	162	0	0	0
0.06	CB23tf	7110	9	2458	8	5	5177	43	7	1	61	1	5844	1	1822	5	0	1	0	5	2	8	0	7348	0	1350	501	1	12	1410	2016	0	0	0	1	1656	0	0	0	0	0	0	202	0	2	0	2	0	0	0	0	0	0	0	1	1	1	2	0	0	5	0	3400	0	0	0	1	254	0	1	49	16	0	0	0	0	496	0	0	0	0	0	0	0	51	0	0	29	0	0	1
0.06	CB24tf	7110	23	22587	11	8	902	0	0	1	7	6	1632	3	6052	4	2	0	0	0	1	0	0	411	0	546	47	0	11	924	494	0	0	0	0	757	0	0	0	0	0	547	495	0	0	0	0	1	0	0	0	7	0	0	0	0	1	0	0	0	0	0	375	0	0	0	0	109	0	0	222	3	0	0	2	0	89	0	0	0	0	0	0	0	0	0	0	1726	0	0	0
0.06	CB30tf	7110	17	36372	11	2	985	8	7	1	3	0	20	3	380	0	2	3	0	0	0	0	2	101	3	126	574	0	1	269	195	3	1	1	0	99	8	0	1	0	0	0	0	2	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	2	0	0	109	0	1	1	0	12	0	0	456	7	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	3	1	1	0
0.06	CB31ti	7110	12	16398	12	6	218	0	15	1	7	0	182	1	407	0	5	0	0	0	0	1	0	1735	1	2038	147	2	11	1251	57	0	0	0	0	1374	0	0	1	2	0	1067	14	0	0	0	0	0	0	0	7	0	0	0	3	0	0	0	0	0	0	0	167	0	0	0	0	4275	0	0	4023	48	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	808	0	0	0
0.06	CB32ti	7110	5	2630	10	2	747	16	0	0	0	0	47	0	10394	1	2	3	10	11	1	2	0	32	0	1373	3	0	3	719	5	1	0	1	0	2565	2	0	0	0	0	4639	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	6329	0	0	0	354	0	0	1	0	15	0	1	0	1079	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	7	0	0	0
0.06	CB35ti	7110	16	85	15	3	779	6	0	0	970	0	4352	2	2739	3	5	15	1	2	4	1	0	7737	0	2833	1284	7	102	1365	968	5	13	1	4	3927	3	0	0	0	0	478	1013	3	0	0	0	0	0	3	1	0	0	4	11	1	0	0	0	0	1	0	1026	2	6	0	0	744	0	0	2	17	0	0	0	1	4465	0	0	0	0	0	3	0	0	0	1	56	0	0	4
0.06	CB36ti	7110	15	4138	1	17	254	0	0	2	1379	0	3399	1	1306	1	0	2	6	0	3	0	0	2296	0	13826	919	0	7	4273	2293	3	0	0	0	1306	1	6	3	0	0	8	2	0	0	0	0	0	1	0	1	3	1	0	1	0	1	3	7	0	0	7	582	0	0	0	0	23	0	0	25	0	0	1	0	5	222	0	1	0	0	0	0	0	0	0	0	140	0	0	0
0.06	CB40ti	7110	2	281	8	12	492	0	0	0	1593	7	6	5	2606	1	0	3	0	0	0	5	2	1	9	568	753	0	0	3490	17792	0	0	0	0	5644	15	0	0	0	0	1	165	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	2	1	0	0	1050	2	3	0	0	886	0	0	799	0	0	0	0	0	4	0	1	0	0	0	0	0	0	2	0	0	0	0	0
0.06	CF192	7110	32510	0	853	1106	21	0	0	42	1	12	368	29	8	6	12	217	1	1	9	21	0	29	22	72	36	0	2387	0	0	0	0	0	62	0	0	6	0	212	8	5	0	0	2	1	0	4	2	12	0	4	1	0	2	1	1	0	0	0	0	0	1	70	0	0	0	0	0	135	0	13	0	1	3	0	0	0	60	0	147	0	0	0	3	0	0	1	0	0	0
0.06	CF201	7110	38651	7	333	34	6	8	5	6	1	5	165	3	4	0	57	50	4	0	0	85	1	62	4	2	1	1	1	1	0	1	1	0	4	0	0	1	0	27	2	0	0	2	0	0	0	1	3	2	1	0	0	0	1	0	3	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	33	0	0	0	0	0	2	0	0	0	2	0	0
0.06	CF206	7110	24864	6	28	11271	64	2	15	1153	3	0	117	1	26	0	434	13	1	0	0	6	2	6	55	43	5	0	5	0	1	0	0	1	4	1	0	1	9	4	7	5	1	0	0	0	1	1	0	306	8	0	0	0	14	1	44	0	0	0	0	0	0	204	0	12	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	2	0
0.06	CF210	7110	2404	5	1250	6097	55	13	1	1358	0	0	5261	174	61	0	224	914	12	6	2	3904	46	2416	166	60	124	0	1578	0	0	0	0	2	14	1	4	2	0	10	97	38	0	0	0	0	0	649	121	208	22	0	0	0	203	0	3	1	2	0	0	0	0	161	236	2586	1	0	21	0	0	35	0	0	0	0	0	1	301	2905	88	0	0	3	10	0	0	0	0	0	0
0.06	CF211	7110	17920	4	2665	3112	486	3	0	980	1	0	1002	50	16	2	438	112	0	2	3	2735	47	141	22	12	153	0	183	1	2	1	9	9	0	3	0	0	0	8	29	5	0	1	0	0	0	179	117	8	0	0	0	3	246	0	798	0	0	0	0	0	1	2925	4	862	2	0	2	0	0	8	0	2	0	0	2	0	18	499	1	0	1	74	34	0	0	0	0	0	0
0.06	CF213	7110	9523	4	65	20175	87	0	0	1050	3	0	332	1258	28	2	314	245	1770	0	0	483	2	88	4	96	3695	0	85	1	3	8	0	6	0	0	0	2	0	0	12	5	0	0	0	0	0	13	0	0	16	0	0	0	0	0	6	2	0	0	1	2	0	19	0	7	0	0	2	7	0	0	0	0	0	3	1	0	27	0	0	0	0	1	1	0	0	0	0	0	0
0.06	CF215	7110	1014	3	2649	9166	179	0	0	142	12	15	265	3187	65	1	1052	7697	1	1	0	11524	3	12	8	157	1	0	33	0	3	1	0	0	0	2	0	0	0	0	27	0	0	0	2	5	0	279	20	49	0	0	1	0	6	0	213	0	0	142	0	0	0	403	0	768	0	1	36	0	0	0	0	12	0	0	0	0	26	0	3	0	0	0	0	2	44	0	0	0	0
0.06	CF222	7110	36042	1	15	15	16	1	11	453	32	2	374	827	58	6	55	69	1163	0	3	8	0	45	2	58	93	1	30	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	3	0	0	0	0	8	24	0	2	0	1	1	4	0	2	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0
0.06	CF227	7110	417	2	8	57	13314	1	0	9372	5099	8	21	5223	282	4	2557	36	563	0	6	4	0	635	0	37	0	0	79	103	0	1	0	990	0	0	0	2	0	0	26	2	2	2	1	0	0	84	1	74	2	4	0	0	0	0	4	0	1	0	0	0	0	2	147	5	1	1	0	0	0	14	0	1	7	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0
0.06	CF228	7110	30790	3	46	3150	451	6	4	17	14	5	162	4075	2	0	22	739	19	0	0	3	0	8	2	20	22	0	5	0	0	0	0	0	1	0	1	2	0	0	47	0	0	3	0	0	0	0	2	3	18	0	0	0	1	0	0	20	0	2	0	0	0	2	11	4	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0
0.06	CF239	7110	20202	15	212	117	615	3	15	3615	73	0	1438	738	973	165	6524	71	0	118	69	3	8	61	2	1102	2562	1	7	9	7	0	0	51	1	2	0	0	5	2	9	13	0	0	0	0	0	0	0	0	21	0	0	0	2	1	13	1	0	0	0	0	1	0	0	60	0	1	0	0	0	87	0	0	0	0	0	0	4	0	6	0	0	11	0	0	0	1	1	0	0
0.06	H5B3	7110	8	2	10	0	0	4	8	0	0	0	1	0	1	1951	2	6	8	31785	6037	0	0	2	1	0	0	0	0	1	0	0	0	0	1	0	3	0	0	0	0	2	0	0	0	60	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0
0.06	H5B4	7110	8	1	2	0	0	2	2	0	1	0	4	4	1	12951	4	0	0	11513	13980	3	0	2	0	0	0	6	0	0	0	4	6	1	0	0	0	0	0	0	0	0	0	0	14	666	0	0	0	2	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	1	0
0.06	H5B6	7110	4	4	1	10	2	0	2	0	5	0	2	1	4	13818	1	1	4	660	23392	0	0	0	0	1	2	0	0	0	0	2	0	0	1	0	0	3	2	0	0	0	0	0	2	1838	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0
0.06	H6B4	7110	2	3	0	3	4	0	2	0	2	0	2	2	1	4413	1	3	0	10961	2204	4	5	0	1	0	1	0	1	3	4	0	0	0	0	1	0	0	0	0	0	0	0	1	6066	10053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4624	1	0	0	0	0
0.06	H6B5	7110	8	0	4	1	1	2	11	0	0	0	1	0	0	23804	0	0	1	3602	3878	5	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	5282	1728	0	0	0	0	0	0	3	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	1
0.06	H6B6	7110	16	7	7	3	4	1	7	3	6	6	5	2	2	14331	0	1	0	4888	13636	0	0	0	0	0	1	0	3	0	0	0	0	0	0	1	0	2	0	0	1	0	3	0	4188	1174	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0
